time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
110,0,0,0x051eb851,999999,128,0
130,1,0,0x051eb851,999999,128,0
150,2,0,0x051eb851,999999,128,0
170,3,0,0x051eb851,999999,135,0
190,4,0,0x051eb851,999999,143,0
210,5,0,0x051eb851,999999,151,0
230,6,0,0x051eb851,999999,158,0
250,7,0,0x051eb851,999999,165,0
270,8,0,0x051eb851,999999,171,0
290,9,0,0x051eb851,999999,177,0
310,10,0,0x051eb851,999999,181,0
330,11,0,0x051eb851,999999,185,0
350,12,0,0x051eb851,999999,188,0
370,13,0,0x051eb851,999999,190,0
390,14,0,0x051eb851,999999,191,0
410,15,0,0x051eb851,999999,191,0
430,16,0,0x051eb851,999999,190,0
450,17,0,0x051eb851,999999,188,0
470,18,0,0x051eb851,999999,185,0
490,19,0,0x051eb851,999999,181,0
510,20,0,0x051eb851,999999,177,0
530,21,0,0x051eb851,999999,171,0
550,22,0,0x051eb851,999999,165,0
570,23,0,0x051eb851,999999,158,0
590,24,0,0x051eb851,999999,151,0
610,25,0,0x051eb851,999999,143,0
630,26,0,0x051eb851,999999,136,0
650,27,0,0x051eb851,999999,128,0
670,28,0,0x051eb851,999999,120,0
690,29,0,0x051eb851,999999,112,0
710,30,0,0x051eb851,999999,104,0
730,31,0,0x051eb851,999999,97,0
750,32,0,0x051eb851,999999,90,0
770,33,0,0x051eb851,999999,84,0
790,34,0,0x051eb851,999999,78,0
810,35,0,0x051eb851,999999,74,0
830,36,0,0x051eb851,999999,70,0
850,37,0,0x051eb851,999999,67,0
870,38,0,0x051eb851,999999,65,0
890,39,0,0x051eb851,999999,64,0
910,40,0,0x051eb851,999999,64,0
930,41,0,0x051eb851,999999,65,0
950,42,0,0x051eb851,999999,67,0
970,43,0,0x051eb851,999999,70,0
990,44,0,0x051eb851,999999,74,0
1010,45,0,0x051eb851,999999,78,0
1030,46,0,0x051eb851,999999,84,0
1050,47,0,0x051eb851,999999,90,0
1070,48,0,0x051eb851,999999,97,0
1090,49,0,0x051eb851,999999,104,0
1110,50,0,0x051eb851,999999,112,0
1130,51,0,0x051eb851,999999,119,0
1150,52,0,0x051eb851,999999,127,0
1170,53,0,0x051eb851,999999,135,0
1190,54,0,0x051eb851,999999,143,0
1210,55,0,0x051eb851,999999,151,0
