time_ns,cycle,test_case,filter_type,classifier_done
110,0,0,0,0
130,1,0,0,0
150,2,0,0,0
170,3,0,0,0
190,4,0,0,0
210,5,0,0,0
230,6,0,0,0
250,7,0,0,0
270,8,0,0,0
290,9,0,0,0
310,10,0,0,0
330,11,0,0,0
350,12,0,0,0
370,13,0,0,0
390,14,0,0,0
410,15,0,0,0
430,16,0,0,0
450,17,0,0,0
470,18,0,0,0
490,19,0,0,0
510,20,0,0,0
530,21,0,0,0
550,22,0,0,0
570,23,0,0,0
590,24,0,0,0
610,25,0,0,0
630,26,0,0,0
650,27,0,0,0
670,28,0,0,0
690,29,0,0,0
710,30,0,0,0
730,31,0,0,0
750,32,0,0,0
770,33,0,0,0
790,34,0,0,0
810,35,0,0,0
830,36,0,0,0
850,37,0,0,0
870,38,0,0,0
890,39,0,0,0
910,40,0,0,0
930,41,0,0,0
950,42,0,0,0
970,43,0,0,0
990,44,0,0,0
1010,45,0,0,0
1030,46,0,0,0
1050,47,0,0,0
1070,48,0,0,0
1090,49,0,0,0
1110,50,0,0,0
1130,51,0,0,0
1150,52,0,0,0
1170,53,0,0,0
1190,54,0,0,0
1210,55,0,0,0
1230,56,0,0,0
1250,57,0,0,0
1270,58,0,0,0
1290,59,0,0,0
1310,60,0,0,0
1330,61,0,0,0
1350,62,0,0,0
1370,63,0,0,0
1390,64,0,0,0
1410,65,0,0,0
1430,66,0,0,0
1450,67,0,0,0
1470,68,0,0,0
1490,69,0,0,0
1510,70,0,0,0
1530,71,0,0,0
1550,72,0,0,0
1570,73,0,0,0
1590,74,0,0,0
1610,75,0,0,0
1630,76,0,0,0
1650,77,0,0,0
1670,78,0,0,0
1690,79,0,0,0
1710,80,0,0,0
1730,81,0,0,0
1750,82,0,0,0
1770,83,0,0,0
1790,84,0,0,0
1810,85,0,0,0
1830,86,0,0,0
1850,87,0,0,0
1870,88,0,0,0
1890,89,0,0,0
1910,90,0,0,0
1930,91,0,0,0
1950,92,0,0,0
1970,93,0,0,0
1990,94,0,0,0
2010,95,0,0,0
2030,96,0,0,0
2050,97,0,0,0
2070,98,0,0,0
2090,99,0,0,0
2110,100,0,0,0
2130,101,0,0,0
2150,102,0,0,0
2170,103,0,0,0
2190,104,0,0,0
2210,105,0,0,0
2230,106,0,0,0
2250,107,0,0,0
2270,108,0,0,0
2290,109,0,0,0
2310,110,0,0,0
2330,111,0,0,0
2350,112,0,0,0
2370,113,0,0,0
2390,114,0,0,0
2410,115,0,0,0
2430,116,0,0,0
2450,117,0,0,0
2470,118,0,0,0
2490,119,0,0,0
2510,120,0,0,0
2530,121,0,0,0
2550,122,0,0,0
2570,123,0,0,0
2590,124,0,0,0
2610,125,0,0,0
2630,126,0,0,0
2650,127,0,0,0
2670,128,0,0,0
2690,129,0,0,0
2710,130,0,0,0
2730,131,0,0,0
2750,132,0,0,0
2770,133,0,0,0
2790,134,0,0,0
2810,135,0,0,0
2830,136,0,0,0
2850,137,0,0,0
2870,138,0,0,0
2890,139,0,0,0
2910,140,0,0,0
2930,141,0,0,0
2950,142,0,0,0
2970,143,0,0,0
2990,144,0,0,0
3010,145,0,0,0
3030,146,0,0,0
3050,147,0,0,0
3070,148,0,0,0
3090,149,0,0,0
3110,150,0,0,0
3130,151,0,0,0
3150,152,0,0,0
3170,153,0,0,0
3190,154,0,0,0
3210,155,0,0,0
3230,156,0,0,0
3250,157,0,0,0
3270,158,0,0,0
3290,159,0,0,0
3310,160,0,0,0
3330,161,0,0,0
3350,162,0,0,0
3370,163,0,0,0
3390,164,0,0,0
3410,165,0,0,0
3430,166,0,0,0
3450,167,0,0,0
3470,168,0,0,0
3490,169,0,0,0
3510,170,0,0,0
3530,171,0,0,0
3550,172,0,0,0
3570,173,0,0,0
3590,174,0,0,0
3610,175,0,0,0
3630,176,0,0,0
3650,177,0,0,0
3670,178,0,0,0
3690,179,0,0,0
3710,180,0,0,0
3730,181,0,0,0
3750,182,0,0,0
3770,183,0,0,0
3790,184,0,0,0
3810,185,0,0,0
3830,186,0,0,0
3850,187,0,0,0
3870,188,0,0,0
3890,189,0,0,0
3910,190,0,0,0
3930,191,0,0,0
3950,192,0,0,0
3970,193,0,0,0
3990,194,0,0,0
4010,195,0,0,0
4030,196,0,0,0
4050,197,0,0,0
4070,198,0,0,0
4090,199,0,0,0
4110,200,0,0,0
4130,201,0,0,0
4150,202,0,0,0
4170,203,0,0,0
4190,204,0,0,0
4210,205,0,0,0
4230,206,0,0,0
4250,207,0,0,0
4270,208,0,0,0
4290,209,0,0,0
4310,210,0,0,0
4330,211,0,0,0
4350,212,0,0,0
4370,213,0,0,0
4390,214,0,0,0
4410,215,0,0,0
4430,216,0,0,0
4450,217,0,0,0
4470,218,0,0,0
4490,219,0,0,0
4510,220,0,0,0
4530,221,0,0,0
4550,222,0,0,0
4570,223,0,0,0
4590,224,0,0,0
4610,225,0,0,0
4630,226,0,0,0
4650,227,0,0,0
4670,228,0,0,0
4690,229,0,0,0
4710,230,0,0,0
4730,231,0,0,0
4750,232,0,0,0
4770,233,0,0,0
4790,234,0,0,0
4810,235,0,0,0
4830,236,0,0,0
4850,237,0,0,0
4870,238,0,0,0
4890,239,0,0,0
4910,240,0,0,0
4930,241,0,0,0
4950,242,0,0,0
4970,243,0,0,0
4990,244,0,0,0
5010,245,0,0,0
5030,246,0,0,0
5050,247,0,0,0
5070,248,0,0,0
5090,249,0,0,0
5110,250,0,0,0
5130,251,0,0,0
5150,252,0,0,0
5170,253,0,0,0
5190,254,0,0,0
5210,255,0,0,0
5230,256,0,0,0
5250,257,0,0,0
5270,258,0,0,0
5290,259,0,0,0
5310,260,0,0,0
5330,261,0,0,0
5350,262,0,0,0
5370,263,0,0,0
5390,264,0,0,0
5410,265,0,0,0
5430,266,0,0,0
5450,267,0,0,0
5470,268,0,0,0
5490,269,0,0,0
5510,270,0,0,0
5530,271,0,0,0
5550,272,0,0,0
5570,273,0,0,0
5590,274,0,0,0
5610,275,0,0,0
5630,276,0,0,0
5650,277,0,0,0
5670,278,0,0,0
5690,279,0,0,0
5710,280,0,0,0
5730,281,0,0,0
5750,282,0,0,0
5770,283,0,0,0
5790,284,0,0,0
5810,285,0,0,0
5830,286,0,0,0
5850,287,0,0,0
5870,288,0,0,0
5890,289,0,0,0
5910,290,0,0,0
5930,291,0,0,0
5950,292,0,0,0
5970,293,0,0,0
5990,294,0,0,0
6010,295,0,0,0
6030,296,0,0,0
6050,297,0,0,0
6070,298,0,0,0
6090,299,0,0,0
6110,300,0,0,0
6130,301,0,0,0
6150,302,0,0,0
6170,303,0,0,0
6190,304,0,0,0
6210,305,0,0,0
6230,306,0,0,0
6250,307,0,0,0
6270,308,0,0,0
6290,309,0,5,1
6310,310,0,5,0
6330,311,0,5,0
6350,312,0,5,0
6370,313,0,5,0
6390,314,0,5,0
6410,315,0,5,0
6430,316,0,5,0
6450,317,0,5,0
6470,318,0,5,0
6490,319,1,5,0
6510,320,1,5,0
6530,321,1,5,0
6550,322,1,5,0
6570,323,1,5,0
6590,324,1,5,0
6610,325,1,5,0
6630,326,1,5,0
6650,327,1,5,0
6670,328,1,5,0
6690,329,1,5,0
6710,330,1,5,0
6730,331,1,5,0
6750,332,1,5,0
6770,333,1,5,0
6790,334,1,5,0
6810,335,1,5,0
6830,336,1,5,0
6850,337,1,5,0
6870,338,1,5,0
6890,339,1,5,0
6910,340,1,5,0
6930,341,1,5,0
6950,342,1,5,0
6970,343,1,5,0
6990,344,1,5,0
7010,345,1,5,0
7030,346,1,5,0
7050,347,1,5,0
7070,348,1,5,0
7090,349,1,5,0
7110,350,1,5,0
7130,351,1,5,0
7150,352,1,5,0
7170,353,1,5,0
7190,354,1,5,0
7210,355,1,5,0
7230,356,1,5,0
7250,357,1,5,0
7270,358,1,5,0
7290,359,1,5,0
7310,360,1,5,0
7330,361,1,5,0
7350,362,1,5,0
7370,363,1,5,0
7390,364,1,5,0
7410,365,1,5,0
7430,366,1,5,0
7450,367,1,5,0
7470,368,1,5,0
7490,369,1,5,0
7510,370,1,5,0
7530,371,1,5,0
7550,372,1,5,0
7570,373,1,5,0
7590,374,1,5,0
7610,375,1,5,0
7630,376,1,5,0
7650,377,1,5,0
7670,378,1,5,0
7690,379,1,5,0
7710,380,1,5,0
7730,381,1,5,0
7750,382,1,5,0
7770,383,1,5,0
7790,384,1,5,0
7810,385,1,5,0
7830,386,1,5,0
7850,387,1,5,0
7870,388,1,5,0
7890,389,1,5,0
7910,390,1,5,0
7930,391,1,5,0
7950,392,1,5,0
7970,393,1,5,0
7990,394,1,5,0
8010,395,1,5,0
8030,396,1,5,0
8050,397,1,5,0
8070,398,1,5,0
8090,399,1,5,0
8110,400,1,5,0
8130,401,1,5,0
8150,402,1,5,0
8170,403,1,5,0
8190,404,1,5,0
8210,405,1,5,0
8230,406,1,5,0
8250,407,1,5,0
8270,408,1,5,0
8290,409,1,5,0
8310,410,1,5,0
8330,411,1,5,0
8350,412,1,5,0
8370,413,1,5,0
8390,414,1,5,0
8410,415,1,5,0
8430,416,1,5,0
8450,417,1,5,0
8470,418,1,5,0
8490,419,1,5,0
8510,420,1,5,0
8530,421,1,5,0
8550,422,1,5,0
